case_id	output_file	source_file	source_section	case_title
case_0017	case_0017.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	二、110kV 线路抽压 TV 接线盒渗油
case_0018	case_0018.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	三、220kV 电压互感器二次失压
case_0019	case_0019.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	四、35kV 母线 TV 高压熔断器熔断
case_0020	case_0020.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	五、110kV 线路抽压 TV 线鼻脱落故障
case_0021	case_0021.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	六、220kV 线路电压异常不能同期合闸
case_0022	case_0022.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	七、110kV 母线 TV 二次电压降低
case_0023	case_0023.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第二节 电压互感器故障处理	一、35kV母线TV故障
case_0024	case_0024.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第二节 电压互感器故障处理	二、110kV 电压互感器电磁绕组烧坏
case_0025	case_0025.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	一、10kV 线路测量 TA 二次开路
case_0026	case_0026.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	二、主变压器 10kV 侧计量 TA 二次开路
case_0027	case_0027.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	三、220kV 线路 TA 防雨罩接线盒锈蚀严重
case_0028	case_0028.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	四、220kV 线路 TA 渗油
case_0029	case_0029.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	五、220kV 线路 TA 连接板螺丝断裂松脱
case_0030	case_0030.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第二节 电流互感器故障处理	一、220kV 线路 TA 末屏接地断线放电
case_0031	case_0031.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第二节 电流互感器故障处理	二、220kV 电流互感器放电烧损
case_0032	case_0032.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	一、220kV断路器弹簧机构不储能
case_0033	case_0033.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	二、110kV 线路断路器气动机构异常
case_0034	case_0034.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	三、10kV 线路断路器弹簧机构不储能
case_0035	case_0035.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	四、10kV 真空断路器缓冲块脱落
case_0036	case_0036.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	五、110kV 断路器液压机构渗油
case_0037	case_0037.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	六、110kV 线路弹簧机构跳闸线圈烧坏
case_0038	case_0038.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	七、液压机构电机碳刷脱位
case_0039	case_0039.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	八、气动机构空气压力降低闭锁
case_0040	case_0040.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第二节 断路器故障处理	一、6kV 少油断路器爆炸
case_0041	case_0041.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第二节 断路器故障处理	二、10kV手车断路器触头发热故障
case_0042	case_0042.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第二节 断路器故障处理	三、10kV 开关柜套管发热
case_0043	case_0043.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第二节 断路器故障处理	四、110kV 少油断路器爆炸
case_0044	case_0044.md	光缆与光设备维护_5_3_典型案例分析_完整提取.md		1. 传输 2M 线故障引起业务中断
case_0045	case_0045.md	光缆与光设备维护_5_3_典型案例分析_完整提取.md		2. 传输机房 2M 线接头质量不好引起业务中断
case_0046	case_0046.md	光缆与光设备维护_5_3_典型案例分析_完整提取.md		3. 时钟不同步引起业务中断
case_0047	case_0047.md	光缆与光设备维护_5_3_典型案例分析_完整提取.md		4. 光板故障引起业务中断
case_0048	case_0048.md	光缆与光设备维护_5_3_典型案例分析_完整提取.md		7. 传输割接后传输机房 2M 接错引起业务中断
case_0049	case_0049.md	光缆与光设备维护_5_3_典型案例分析_完整提取.md		8. 电压异常导致业务中断
case_0050	case_0050.md	光缆与光设备维护_5_3_典型案例分析_完整提取.md		9. 线路（人为盗割）引起业务中断
case_0051	case_0051.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	一、变压器本体放油阀渗油故障
case_0052	case_0052.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	二、主变二次套管接点温度过热故障
case_0053	case_0053.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	三、主变重瓦斯动作故障
case_0054	case_0054.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	六、主变故障跳闸受到突发短路冲击，导致内部绝缘故障
case_0055	case_0055.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	七、主变有载重瓦斯跳闸故障
case_0056	case_0056.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	八、变压器 10kV 套管裂纹导致渗油及轻瓦斯频发故障
case_0057	case_0057.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	九、主变短路冲击损坏故障
case_0058	case_0058.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十、主变低油位跳闸故障
case_0059	case_0059.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十一、套管升高座法兰螺栓过热故障
case_0060	case_0060.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十二、本体重瓦斯报警故障
case_0061	case_0061.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十五、2号主变重瓦斯动作跳闸故障
case_0062	case_0062.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十六、主变一次套管C相接线板过热故障
case_0063	case_0063.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.1 某 750kV 变电站 750kV 电抗器呼吸器溢油故障分析
case_0064	case_0064.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.2 某换流变电站极Ⅱ换流变压器充电导致极Ⅰ闭锁故障分析
case_0065	case_0065.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.3 某换流站 750kV 变压器压力释放动作故障分析
case_0066	case_0066.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.4 某750kV变电站750kV 1号主变油色谱异常故障分析
case_0067	case_0067.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.5 某 330kV 变电站 1 号主变风冷故障分析
case_0068	case_0068.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.6 330kV 变电站 1 号主变跳闸故障分析
case_0069	case_0069.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.7 某330kV变电站30519某线及1号主变跳闸故障分析
case_0070	case_0070.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.8 某220kV变电站220kV主变轻瓦斯故障分析
case_0071	case_0071.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.9 某 220kV 变电站主变套管受潮导致爆炸故障分析
case_0072	case_0072.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.10 某 110kV 变电站套管铝质导电杆断裂故障分析
case_0073	case_0073.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.11 某110kV变电站主变套管内漏故障分析
case_0074	case_0074.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.12 某 110kV 变电站主变套管爆炸故障分析
case_0075	case_0075.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.13 某 110kV 变电站主变套管末屏端子内部放电故障
case_0076	case_0076.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.14 某 110kV 变电站主变套管密封圈老化导致爆炸故障分析
case_0077	case_0077.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.15 某 110kV 变电站主变内部发热导致总烃含量异常故障分析
case_0078	case_0078.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.16 某 110kV 变电站 110kV 主变绝缘油溢出故障分析
case_0079	case_0079.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.17 某 110kV 变电站 110kV 主变绕组变形故障分析
case_0080	case_0080.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.18 某110kV变电站110kV主变油位过高故障分析
case_0081	case_0081.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.19 某 110kV 变电站 110kV 主变乙炔含量异常故障分析
case_0082	case_0082.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.21 某110kV变电站110kV主变内部放电导致跳闸故障分析
case_0083	case_0083.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.22 某 110kV 变电站外部放电导致 2 号主变跳闸故障分析
case_0084	case_0084.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.23 某 110kV 变电站 2 号主变箱盖下沉导致总烃异常故障分析
case_0085	case_0085.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.24 某 110kV 变电站 1、2 号主变故障分析
case_0086	case_0086.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.25 某 110kV 变电站主变短路后套管损坏故障分析
case_0087	case_0087.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		7.0 级地震标准，地面加速度基准为 AG3，套管未损坏。
case_0088	case_0088.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.26 某 35kV 变电站 1 号主变气体继电器故障导致重瓦斯动作分析
case_0089	case_0089.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.27 某 35kV 变电站 1 号主变跳闸故障分析
case_0090	case_0090.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.28 某 35kV 变电站 2 号主变呼吸器堵塞导致跳闸故障分析
case_0091	case_0091.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.29 某 35kV 变电站主变受潮导致重瓦斯动作故障分析
case_0092	case_0092.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.30 某 35kV 变电站 2 号主变跳闸故障分析
case_0093	case_0093.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.31 某35kV变电站10kV电流互感器炸裂引起主变跳闸故障分析
case_0094	case_0094.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.1 某换流站800kV罐式断路器绝缘拉杆爆裂故障分析
case_0095	case_0095.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.2 某 750kV 变电站 800kV 罐式断路器碟簧机构传动轴断裂故障分析
case_0096	case_0096.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.3 某 750kV 变电站 7530 断路器绝缘拉杆故障分析
case_0097	case_0097.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.4 某 500kV 变电站 5023 断路器瓷套缺陷导致套管爆裂故障分析
case_0098	case_0098.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.5 某 500kV 变电站 220kV 断路器内部放电故障分析
case_0099	case_0099.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.6 某500kV变电站500kV断路器套管爆裂故障分析
case_0100	case_0100.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.8 某330kV变电站1号所变断路器保护误动故障分析
case_0101	case_0101.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.9 某330kV变电站断路器分闸时间异常故障分析
case_0102	case_0102.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.10 某220kV变电站220kV断路器保护控制回路故障分析
case_0103	case_0103.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.11 某 110kV 变电站 110kV 断路器传动机构部件异常故障分析
case_0104	case_0104.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.12 某 110kV 变电站 110kV 断路器电动机控制及保护回路故障分析
case_0105	case_0105.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.13 某110kV变电站10kV断路器真空灭弧室故障分析
case_0106	case_0106.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.14 某 110kV 变电站 35kV 断路器输出拐臂故障分析
case_0107	case_0107.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.16 某 110kV 变电站 35kV 断路器带状触指接触不良故障分析
case_0108	case_0108.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.17 某 110kV 变电站 1 号主变 501 断路器拒合故障分析
case_0109	case_0109.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.18 某 110kV 变电站 323 断路器拒合故障分析
case_0110	case_0110.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.19 某 110kV 变电站 35kV 断路器拒动故障分析
case_0111	case_0111.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.20 某 110kV 变电站 LW25-126 型断路器绝缘拉杆脱落故障分析
case_0112	case_0112.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.21 某 110kV 变电站 110kV 断路器爆炸事故分析
case_0113	case_0113.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.22 某 110kV 变电站断路器内部放电故障分析
case_0114	case_0114.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.23 某35kV变电站10kV断路器放电故障分析
case_0115	case_0115.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.1 某换流站 330kV 3371 断路器电流互感器 A 相爆炸故障分析
case_0116	case_0116.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.2 某换流站斯尼汶特光电流互感器通道异常处理故障分析
case_0117	case_0117.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.3 某换流站极Ⅱ $I_{\text{DNC}}$ 异常故障分析
case_0118	case_0118.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.4 某 330kV 变电站母差保护跳闸故障分析
case_0119	case_0119.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.5 某 110kV 变电站 110kV 电流互感器故障分析
case_0120	case_0120.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.6 某220kV变电站3号主变电流互感器设备故障分析
case_0121	case_0121.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.7 某 330kV 变电站 3361 断路器电流互感器内部绝缘击穿故障分析
case_0122	case_0122.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.8 某 500kV 变电站电流互感器复合绝缘外护套龟裂故障分析
case_0123	case_0123.md	输变电设备典型故障_第一章.md	第二节 雷击故障典型案例	案例一 雷电绕击造成架空输电线路故障
case_0124	case_0124.md	输变电设备典型故障_第一章.md	第一节　架空输电线路故障概述	案例二 绝缘子冰闪故障
case_0125	case_0125.md	输变电设备典型故障_第一章.md	第一节　架空输电线路故障概述	案例二 雷电反击造成架空输电线路故障
case_0126	case_0126.md	输变电设备典型故障_第一章.md	第三节 覆冰故障典型案例	案例一 导地线覆冰造成架空输电线路故障
case_0127	case_0127.md	输变电设备典型故障_第一章.md	第五节　外力破坏故障典型案例	案例二 施工碰线造成架空输电线路外力故障
case_0128	case_0128.md	输变电设备典型故障_第一章.md	第四节　风偏故障典型案例	案例二 异物造成架空输电线路外力故障
case_0129	case_0129.md	输变电设备典型故障_第一章.md	第四节　风偏故障典型案例	案例二 鸟粪造成避雷器闪络故障
case_0130	case_0130.md	输变电设备典型故障_第一章.md	第八节　其他典型故障案例	案例二 短路热容量不满足要求造成地线断线故障
case_0131	case_0131.md	输变电设备典型故障_第一章.md	第八节　其他典型故障案例	案例二 安装不规范导致避雷器失效故障
case_0132	case_0132.md	输变电设备典型故障_第一章.md	第六节　鸟害故障典型案例	案例一 鸟粪造成绝缘子闪络
case_0133	case_0133.md	输变电设备典型故障_第一章.md	第六节　鸟害故障典型案例	案例四 运维原因造成雷击掉线故障
case_0134	case_0134.md	输变电设备典型故障_第一章.md	第六节　鸟害故障典型案例	案例五 施工质量原因造成线路导线掉线故障
case_0135	case_0135.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第一节 大风造成杆塔故障	（一）大风造成杆塔倾倒故障
case_0136	case_0136.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第二节 洪水冲刷故障	一、洪水造成杆塔倾倒故障
case_0137	case_0137.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第二节 洪水冲刷故障	二、洪水造成杆塔倾斜故障
case_0138	case_0138.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第三节 山体滑坡故障	二、山体滑坡造成杆塔倾斜断线故障
case_0139	case_0139.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第四节 基础下沉故障	（一）基础下沉造成杆塔倾斜故障
case_0140	case_0140.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第四节 基础下沉故障	二、基础下沉造成杆塔移位倾斜故障
case_0141	case_0141.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第五节 拉线被盗割故障	一、拉线被盗引起杆塔倾倒故障
case_0142	case_0142.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第五节 拉线被盗割故障	二、拉线被盗引起杆塔倾斜故障
case_0143	case_0143.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第五节 拉线被盗割故障	三、拉线断线反弹至导线引起线路跳闸故障
case_0144	case_0144.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第六节 构件丢失故障	一、构件丢失引起杆塔倾倒故障
case_0145	case_0145.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第六节 构件丢失故障	（二）地脚螺栓破坏引起杆塔倾斜故障
case_0146	case_0146.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第七节 外力冲撞（撞击）故障	（一）外力冲撞（撞击）拉线（棒）起杆塔倾斜故障
case_0147	case_0147.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第八节 设计缺陷案例	一、杆塔设计强度不足引起杆塔变形故障
case_0148	case_0148.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第八节 设计缺陷案例	二、特殊地质设计不当引起杆塔倾斜故障
case_0149	case_0149.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第九节 构件制造质量不良案例	一、线路插入式角钢规格错误造成基础故障
case_0150	case_0150.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第九节 构件制造质量不良案例	二、钢管塔法兰盘焊接质量引起倒塔故障
case_0151	case_0151.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第十节 材质不佳案例	一、非标材质引起杆塔倾斜故障
case_0152	case_0152.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第十节 材质不佳案例	二、混凝土选材不当造成基础破裂故障
case_0153	case_0153.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第一节 覆冰故障	一、导地线覆冰过载引起倒塔故障
case_0154	case_0154.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第一节 覆冰故障	（二）导地线脱冰跳跃引起线路故障
case_0155	case_0155.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第二节 舞动故障	（一）导线舞动造成相间短路故障
case_0156	case_0156.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第二节 舞动故障	（二）导线舞动造成倒杆塔故障
case_0157	case_0157.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第三节 交叉跨越故障	（一）通道内树木安全距离不足引起线路故障
case_0158	case_0158.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第三节 交叉跨越故障	（三）通道内车辆违章行驶造成线路故障
case_0159	case_0159.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第四节 雷击故障	一、雷击导线造成线路故障
case_0160	case_0160.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第四节 雷击故障	二、雷击地线造成线路故障
case_0161	case_0161.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第五节 外力破坏故障	（一）吊车碰线造成线路故障
case_0162	case_0162.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第五节 外力破坏故障	二、异物缠绕导线造成线路故障
case_0163	case_0163.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第六节 材料质量及出厂质量故障	一、导线制造工艺不良造成断线故障
case_0164	case_0164.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第六节 材料质量及出厂质量故障	二、生产工艺不良造成导线松股故障
case_0165	case_0165.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第七节 风偏故障	（一）导线（直线）风偏距离不足造成线路故障
case_0166	case_0166.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第七节 风偏故障	（二）引流线（耐张）风偏距离不足造成线路故障
case_0167	case_0167.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第二节 配电变压器故障案例	案例一 生产工艺不良造成配电变压器故障
case_0168	case_0168.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第二节 配电变压器故障案例	案例二 低压短路造成低压配电箱故障
case_0169	case_0169.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第二节 配电变压器故障案例	案例三 肘型电缆终端密封不良造成配电变压器故障
case_0170	case_0170.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第二节 配电变压器故障案例	案例四 产品质量问题导致配电变压器故障
case_0171	case_0171.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第三节 柱上负荷开关故障案例	案例一 密封不良导致柱上负荷开关故障
case_0172	case_0172.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第四节 柱上电压互感器故障案例	案例一 接线错误造成柱上电压互感器故障
case_0173	case_0173.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第四节 柱上电压互感器故障案例	案例二 产品质量不良造成柱上电压互感器故障
case_0174	case_0174.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第五节 导线故障案例	案例一 接触不良造成导线断线
case_0175	case_0175.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第五节 导线故障案例	案例二 雷击造成导线断线
case_0176	case_0176.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第六节 避雷器典型案例	案例一 密封不良造成避雷器阀片侧闪
case_0177	case_0177.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第六节 避雷器典型案例	案例二 雷击造成避雷器阀片击穿
case_0178	case_0178.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第六节 避雷器典型案例	案例三：交界面存在气隙造成避雷器阀片侧闪
case_0179	case_0179.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第六节 避雷器典型案例	案例四 自然原因导致避雷器故障
case_0180	case_0180.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第七节 绝缘子典型故障案例	案例一 老化造成绝缘子击穿故障
case_0181	case_0181.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第七节 绝缘子典型故障案例	案例二 雷击造成箱位绝缘子沿面闪络故障
