fact_id,asset_type,fault_type,slot_key,slot_value,priority,evidence_source,version
F00029,断路器,灭弧与介质状态故障,knowledge_fact,灭弧与介质状态故障包含灭弧室烧损爆炸故障,2,关系_links.xlsx,20260410
F00030,断路器,灭弧与介质状态故障,knowledge_fact,灭弧室烧损爆炸故障起因于灭弧室烧损爆炸故障-故障原因,2,关系_links.xlsx,20260410
F00031,断路器,灭弧与介质状态故障,precursor,灭弧室烧损爆炸故障-故障原因表现灭弧室烧损爆炸故障-故障现象,4,关系_links.xlsx,20260410
F00032,断路器,灭弧与介质状态故障,knowledge_fact,灭弧室烧损爆炸故障处置灭弧室烧损爆炸故障-应对措施,2,关系_links.xlsx,20260410
F00033,断路器,灭弧与介质状态故障,fault_consequence,灭弧室烧损爆炸故障-故障后果,5,关系_links.xlsx,20260410
F00034,断路器,灭弧与介质状态故障,knowledge_fact,灭弧室烧损爆炸故障-应对措施存在灭弧室烧损爆炸故障-安全风险,2,关系_links.xlsx,20260410
F00035,断路器,灭弧与介质状态故障,knowledge_fact,灭弧室烧损爆炸故障-应对措施需要灭弧室烧损爆炸故障-应急资源,2,关系_links.xlsx,20260410
F00036,断路器,导电回路与开断故障,knowledge_fact,导电回路与开断故障包含断路故障,2,关系_links.xlsx,20260410
F00037,断路器,导电回路与开断故障,knowledge_fact,断路故障起因于断路故障-故障原因,2,关系_links.xlsx,20260410
F00038,断路器,导电回路与开断故障,precursor,断路故障-故障原因表现断路故障-故障现象,4,关系_links.xlsx,20260410
F00039,断路器,导电回路与开断故障,knowledge_fact,断路故障处置断路故障-应对措施,2,关系_links.xlsx,20260410
F00040,断路器,导电回路与开断故障,fault_consequence,断路故障-故障后果,5,关系_links.xlsx,20260410
F00041,断路器,导电回路与开断故障,knowledge_fact,断路故障-应对措施存在断路故障-安全风险,2,关系_links.xlsx,20260410
F00042,断路器,导电回路与开断故障,knowledge_fact,断路故障-应对措施需要断路故障-应急资源,2,关系_links.xlsx,20260410
F00043,断路器,导电回路与开断故障,knowledge_fact,导电回路与开断故障包含导电回路直阻超标故障,2,关系_links.xlsx,20260410
F00044,断路器,导电回路与开断故障,knowledge_fact,导电回路直阻超标故障起因于导电回路直阻超标故障-故障原因,2,关系_links.xlsx,20260410
F00045,断路器,导电回路与开断故障,precursor,导电回路直阻超标故障-故障原因表现导电回路直阻超标故障-故障现象,4,关系_links.xlsx,20260410
F00046,断路器,导电回路与开断故障,knowledge_fact,导电回路直阻超标故障处置导电回路直阻超标故障-应对措施,2,关系_links.xlsx,20260410
F00047,断路器,导电回路与开断故障,fault_consequence,导电回路直阻超标故障-故障后果,5,关系_links.xlsx,20260410
F00048,断路器,导电回路与开断故障,knowledge_fact,导电回路直阻超标故障-应对措施存在导电回路直阻超标故障-安全风险,2,关系_links.xlsx,20260410
F00049,断路器,导电回路与开断故障,knowledge_fact,导电回路直阻超标故障-应对措施需要导电回路直阻超标故障-应急资源,2,关系_links.xlsx,20260410
F00050,断路器,导电回路与开断故障,knowledge_fact,导电回路与开断故障包含触头及导电连接异常故障,2,关系_links.xlsx,20260410
F00051,断路器,导电回路与开断故障,knowledge_fact,触头及导电连接异常故障起因于触头及导电连接异常故障-故障原因,2,关系_links.xlsx,20260410
F00052,断路器,导电回路与开断故障,precursor,触头及导电连接异常故障-故障原因表现触头及导电连接异常故障-故障现象,4,关系_links.xlsx,20260410
F00053,断路器,导电回路与开断故障,knowledge_fact,触头及导电连接异常故障处置触头及导电连接异常故障-应对措施,2,关系_links.xlsx,20260410
F00054,断路器,导电回路与开断故障,fault_consequence,触头及导电连接异常故障-故障后果,5,关系_links.xlsx,20260410
F00055,断路器,导电回路与开断故障,knowledge_fact,触头及导电连接异常故障-应对措施存在触头及导电连接异常故障-安全风险,2,关系_links.xlsx,20260410
F00056,断路器,导电回路与开断故障,knowledge_fact,触头及导电连接异常故障-应对措施需要触头及导电连接异常故障-应急资源,2,关系_links.xlsx,20260410
F00057,断路器,合分闸操作故障,knowledge_fact,合分闸操作故障包含误动故障,2,关系_links.xlsx,20260410
F00058,断路器,合分闸操作故障,knowledge_fact,误动故障起因于误动故障-故障原因,2,关系_links.xlsx,20260410
F00059,断路器,合分闸操作故障,precursor,误动故障-故障原因表现误动故障-故障现象,4,关系_links.xlsx,20260410
F00060,断路器,合分闸操作故障,knowledge_fact,误动故障处置误动故障-应对措施,2,关系_links.xlsx,20260410
F00061,断路器,合分闸操作故障,fault_consequence,误动故障-故障后果,5,关系_links.xlsx,20260410
F00062,断路器,合分闸操作故障,knowledge_fact,误动故障-应对措施存在误动故障-安全风险,2,关系_links.xlsx,20260410
F00063,断路器,合分闸操作故障,knowledge_fact,误动故障-应对措施需要误动故障-应急资源,2,关系_links.xlsx,20260410
F00064,断路器,合分闸操作故障,knowledge_fact,合分闸操作故障包含拒动故障,2,关系_links.xlsx,20260410
F00065,断路器,合分闸操作故障,knowledge_fact,拒动故障起因于拒动故障-故障原因,2,关系_links.xlsx,20260410
F00066,断路器,合分闸操作故障,precursor,拒动故障-故障原因表现拒动故障-故障现象,4,关系_links.xlsx,20260410
F00067,断路器,合分闸操作故障,knowledge_fact,拒动故障处置拒动故障-应对措施,2,关系_links.xlsx,20260410
F00068,断路器,合分闸操作故障,fault_consequence,拒动故障-故障后果,5,关系_links.xlsx,20260410
F00069,断路器,合分闸操作故障,knowledge_fact,拒动故障-应对措施存在拒动故障-安全风险,2,关系_links.xlsx,20260410
F00070,断路器,合分闸操作故障,knowledge_fact,拒动故障-应对措施需要拒动故障-应急资源,2,关系_links.xlsx,20260410
F00071,断路器,操动机构与机械传动故障,knowledge_fact,操动机构与机械传动故障包含机构卡阻卡涩故障,2,关系_links.xlsx,20260410
F00072,断路器,操动机构与机械传动故障,knowledge_fact,机构卡阻卡涩故障起因于机构卡阻卡涩故障-故障原因,2,关系_links.xlsx,20260410
F00073,断路器,操动机构与机械传动故障,precursor,机构卡阻卡涩故障-故障原因表现机构卡阻卡涩故障-故障现象,4,关系_links.xlsx,20260410
F00074,断路器,操动机构与机械传动故障,knowledge_fact,机构卡阻卡涩故障处置机构卡阻卡涩故障-应对措施,2,关系_links.xlsx,20260410
F00075,断路器,操动机构与机械传动故障,fault_consequence,机构卡阻卡涩故障-故障后果,5,关系_links.xlsx,20260410
F00076,断路器,操动机构与机械传动故障,knowledge_fact,机构卡阻卡涩故障-应对措施存在机构卡阻卡涩故障-安全风险,2,关系_links.xlsx,20260410
F00077,断路器,操动机构与机械传动故障,knowledge_fact,机构卡阻卡涩故障-应对措施需要机构卡阻卡涩故障-应急资源,2,关系_links.xlsx,20260410
F00078,断路器,操动机构与机械传动故障,knowledge_fact,操动机构与机械传动故障包含操作机构死点故障,2,关系_links.xlsx,20260410
F00079,断路器,操动机构与机械传动故障,knowledge_fact,操作机构死点故障起因于操作机构死点故障-故障原因,2,关系_links.xlsx,20260410
F00080,断路器,操动机构与机械传动故障,precursor,操作机构死点故障-故障原因表现操作机构死点故障-故障现象,4,关系_links.xlsx,20260410
F00081,断路器,操动机构与机械传动故障,knowledge_fact,操作机构死点故障处置操作机构死点故障-应对措施,2,关系_links.xlsx,20260410
F00082,断路器,操动机构与机械传动故障,fault_consequence,操作机构死点故障-故障后果,5,关系_links.xlsx,20260410
F00083,断路器,操动机构与机械传动故障,knowledge_fact,操作机构死点故障-应对措施存在操作机构死点故障-安全风险,2,关系_links.xlsx,20260410
F00084,断路器,操动机构与机械传动故障,knowledge_fact,操作机构死点故障-应对措施需要操作机构死点故障-应急资源,2,关系_links.xlsx,20260410
F00085,断路器,操动机构与机械传动故障,knowledge_fact,操动机构与机械传动故障包含跳闸挂扣滑脱故障,2,关系_links.xlsx,20260410
F00086,断路器,操动机构与机械传动故障,knowledge_fact,跳闸挂扣滑脱故障起因于跳闸挂扣滑脱故障-故障原因,2,关系_links.xlsx,20260410
F00087,断路器,操动机构与机械传动故障,precursor,跳闸挂扣滑脱故障-故障原因表现跳闸挂扣滑脱故障-故障现象,4,关系_links.xlsx,20260410
F00088,断路器,操动机构与机械传动故障,knowledge_fact,跳闸挂扣滑脱故障处置跳闸挂扣滑脱故障-应对措施,2,关系_links.xlsx,20260410
F00089,断路器,操动机构与机械传动故障,fault_consequence,跳闸挂扣滑脱故障-故障后果,5,关系_links.xlsx,20260410
F00090,断路器,操动机构与机械传动故障,knowledge_fact,跳闸挂扣滑脱故障-应对措施存在跳闸挂扣滑脱故障-安全风险,2,关系_links.xlsx,20260410
F00091,断路器,操动机构与机械传动故障,knowledge_fact,跳闸挂扣滑脱故障-应对措施需要跳闸挂扣滑脱故障-应急资源,2,关系_links.xlsx,20260410
F00092,断路器,操动机构与机械传动故障,knowledge_fact,操动机构与机械传动故障包含合分闸铁心动作失灵故障,2,关系_links.xlsx,20260410
F00093,断路器,操动机构与机械传动故障,knowledge_fact,合分闸铁心动作失灵故障起因于合分闸铁心动作失灵故障-故障原因,2,关系_links.xlsx,20260410
F00094,断路器,操动机构与机械传动故障,precursor,合分闸铁心动作失灵故障-故障原因表现合分闸铁心动作失灵故障-故障现象,4,关系_links.xlsx,20260410
F00095,断路器,操动机构与机械传动故障,knowledge_fact,合分闸铁心动作失灵故障处置合分闸铁心动作失灵故障-应对措施,2,关系_links.xlsx,20260410
F00096,断路器,操动机构与机械传动故障,fault_consequence,合分闸铁心动作失灵故障-故障后果,5,关系_links.xlsx,20260410
F00097,断路器,操动机构与机械传动故障,knowledge_fact,合分闸铁心动作失灵故障-应对措施存在合分闸铁心动作失灵故障-安全风险,2,关系_links.xlsx,20260410
F00098,断路器,操动机构与机械传动故障,knowledge_fact,合分闸铁心动作失灵故障-应对措施需要合分闸铁心动作失灵故障-应急资源,2,关系_links.xlsx,20260410
F00099,断路器,操动机构与机械传动故障,knowledge_fact,操动机构与机械传动故障包含储能机构不能储能故障,2,关系_links.xlsx,20260410
F00100,断路器,操动机构与机械传动故障,knowledge_fact,储能机构不能储能故障起因于储能机构不能储能故障-故障原因,2,关系_links.xlsx,20260410
F00101,断路器,操动机构与机械传动故障,precursor,储能机构不能储能故障-故障原因表现储能机构不能储能故障-故障现象,4,关系_links.xlsx,20260410
F00102,断路器,操动机构与机械传动故障,knowledge_fact,储能机构不能储能故障处置储能机构不能储能故障-应对措施,2,关系_links.xlsx,20260410
F00103,断路器,操动机构与机械传动故障,fault_consequence,储能机构不能储能故障-故障后果,5,关系_links.xlsx,20260410
F00104,断路器,操动机构与机械传动故障,knowledge_fact,储能机构不能储能故障-应对措施存在储能机构不能储能故障-安全风险,2,关系_links.xlsx,20260410
F00105,断路器,操动机构与机械传动故障,knowledge_fact,储能机构不能储能故障-应对措施需要储能机构不能储能故障-应急资源,2,关系_links.xlsx,20260410
F00106,断路器,操动机构与机械传动故障,knowledge_fact,操动机构与机械传动故障包含分合闸后均储能故障,2,关系_links.xlsx,20260410
F00107,断路器,操动机构与机械传动故障,knowledge_fact,分合闸后均储能故障起因于分合闸后均储能故障-故障原因,2,关系_links.xlsx,20260410
F00108,断路器,操动机构与机械传动故障,precursor,分合闸后均储能故障-故障原因表现分合闸后均储能故障-故障现象,4,关系_links.xlsx,20260410
F00109,断路器,操动机构与机械传动故障,knowledge_fact,分合闸后均储能故障处置分合闸后均储能故障-应对措施,2,关系_links.xlsx,20260410
F00110,断路器,操动机构与机械传动故障,fault_consequence,分合闸后均储能故障-故障后果,5,关系_links.xlsx,20260410
F00111,断路器,操动机构与机械传动故障,knowledge_fact,分合闸后均储能故障-应对措施存在分合闸后均储能故障-安全风险,2,关系_links.xlsx,20260410
F00112,断路器,操动机构与机械传动故障,knowledge_fact,分合闸后均储能故障-应对措施需要分合闸后均储能故障-应急资源,2,关系_links.xlsx,20260410
F00113,断路器,操动机构与机械传动故障,knowledge_fact,操动机构与机械传动故障包含操动机构传动件变形断裂故障,2,关系_links.xlsx,20260410
F00114,断路器,操动机构与机械传动故障,knowledge_fact,操动机构传动件变形断裂故障起因于操动机构传动件变形断裂故障-故障原因,2,关系_links.xlsx,20260410
F00115,断路器,操动机构与机械传动故障,precursor,操动机构传动件变形断裂故障-故障原因表现操动机构传动件变形断裂故障-故障现象,4,关系_links.xlsx,20260410
F00116,断路器,操动机构与机械传动故障,knowledge_fact,操动机构传动件变形断裂故障处置操动机构传动件变形断裂故障-应对措施,2,关系_links.xlsx,20260410
F00117,断路器,操动机构与机械传动故障,fault_consequence,操动机构传动件变形断裂故障-故障后果,5,关系_links.xlsx,20260410
F00118,断路器,操动机构与机械传动故障,knowledge_fact,操动机构传动件变形断裂故障-应对措施存在操动机构传动件变形断裂故障-安全风险,2,关系_links.xlsx,20260410
F00119,断路器,操动机构与机械传动故障,knowledge_fact,操动机构传动件变形断裂故障-应对措施需要操动机构传动件变形断裂故障-应急资源,2,关系_links.xlsx,20260410
F00120,断路器,操作能源与控制回路故障,knowledge_fact,操作能源与控制回路故障包含直流操作电源异常故障,2,关系_links.xlsx,20260410
F00121,断路器,操作能源与控制回路故障,knowledge_fact,直流操作电源异常故障起因于直流操作电源异常故障-故障原因,2,关系_links.xlsx,20260410
F00122,断路器,操作能源与控制回路故障,precursor,直流操作电源异常故障-故障原因表现直流操作电源异常故障-故障现象,4,关系_links.xlsx,20260410
F00123,断路器,操作能源与控制回路故障,knowledge_fact,直流操作电源异常故障处置直流操作电源异常故障-应对措施,2,关系_links.xlsx,20260410
F00124,断路器,操作能源与控制回路故障,fault_consequence,直流操作电源异常故障-故障后果,5,关系_links.xlsx,20260410
F00125,断路器,操作能源与控制回路故障,knowledge_fact,直流操作电源异常故障-应对措施存在直流操作电源异常故障-安全风险,2,关系_links.xlsx,20260410
F00126,断路器,操作能源与控制回路故障,knowledge_fact,直流操作电源异常故障-应对措施需要直流操作电源异常故障-应急资源,2,关系_links.xlsx,20260410
F00127,断路器,操作能源与控制回路故障,knowledge_fact,操作能源与控制回路故障包含液压机构失压故障,2,关系_links.xlsx,20260410
F00128,断路器,操作能源与控制回路故障,knowledge_fact,液压机构失压故障起因于液压机构失压故障-故障原因,2,关系_links.xlsx,20260410
F00129,断路器,操作能源与控制回路故障,precursor,液压机构失压故障-故障原因表现液压机构失压故障-故障现象,4,关系_links.xlsx,20260410
F00130,断路器,操作能源与控制回路故障,knowledge_fact,液压机构失压故障处置液压机构失压故障-应对措施,2,关系_links.xlsx,20260410
F00131,断路器,操作能源与控制回路故障,fault_consequence,液压机构失压故障-故障后果,5,关系_links.xlsx,20260410
F00132,断路器,操作能源与控制回路故障,knowledge_fact,液压机构失压故障-应对措施存在液压机构失压故障-安全风险,2,关系_links.xlsx,20260410
F00133,断路器,操作能源与控制回路故障,knowledge_fact,液压机构失压故障-应对措施需要液压机构失压故障-应急资源,2,关系_links.xlsx,20260410
F00134,断路器,操作能源与控制回路故障,knowledge_fact,操作能源与控制回路故障包含操作油风管路异常故障,2,关系_links.xlsx,20260410
F00135,断路器,操作能源与控制回路故障,knowledge_fact,操作油风管路异常故障起因于操作油风管路异常故障-故障原因,2,关系_links.xlsx,20260410
F00136,断路器,操作能源与控制回路故障,precursor,操作油风管路异常故障-故障原因表现操作油风管路异常故障-故障现象,4,关系_links.xlsx,20260410
F00137,断路器,操作能源与控制回路故障,knowledge_fact,操作油风管路异常故障处置操作油风管路异常故障-应对措施,2,关系_links.xlsx,20260410
F00138,断路器,操作能源与控制回路故障,fault_consequence,操作油风管路异常故障-故障后果,5,关系_links.xlsx,20260410
F00139,断路器,操作能源与控制回路故障,knowledge_fact,操作油风管路异常故障-应对措施存在操作油风管路异常故障-安全风险,2,关系_links.xlsx,20260410
F00140,断路器,操作能源与控制回路故障,knowledge_fact,操作油风管路异常故障-应对措施需要操作油风管路异常故障-应急资源,2,关系_links.xlsx,20260410
F00141,断路器,操作能源与控制回路故障,knowledge_fact,操作能源与控制回路故障包含控制回路短路故障,2,关系_links.xlsx,20260410
F00142,断路器,操作能源与控制回路故障,knowledge_fact,控制回路短路故障起因于控制回路短路故障-故障原因,2,关系_links.xlsx,20260410
F00143,断路器,操作能源与控制回路故障,precursor,控制回路短路故障-故障原因表现控制回路短路故障-故障现象,4,关系_links.xlsx,20260410
F00144,断路器,操作能源与控制回路故障,knowledge_fact,控制回路短路故障处置控制回路短路故障-应对措施,2,关系_links.xlsx,20260410
F00145,断路器,操作能源与控制回路故障,fault_consequence,控制回路短路故障-故障后果,5,关系_links.xlsx,20260410
F00146,断路器,操作能源与控制回路故障,knowledge_fact,控制回路短路故障-应对措施存在控制回路短路故障-安全风险,2,关系_links.xlsx,20260410
F00147,断路器,操作能源与控制回路故障,knowledge_fact,控制回路短路故障-应对措施需要控制回路短路故障-应急资源,2,关系_links.xlsx,20260410
F00148,断路器,操作能源与控制回路故障,knowledge_fact,操作能源与控制回路故障包含控制回路接地故障,2,关系_links.xlsx,20260410
F00149,断路器,操作能源与控制回路故障,knowledge_fact,控制回路接地故障起因于控制回路接地故障-故障原因,2,关系_links.xlsx,20260410
F00150,断路器,操作能源与控制回路故障,precursor,控制回路接地故障-故障原因表现控制回路接地故障-故障现象,4,关系_links.xlsx,20260410
F00151,断路器,操作能源与控制回路故障,knowledge_fact,控制回路接地故障处置控制回路接地故障-应对措施,2,关系_links.xlsx,20260410
F00152,断路器,操作能源与控制回路故障,fault_consequence,控制回路接地故障-故障后果,5,关系_links.xlsx,20260410
F00153,断路器,操作能源与控制回路故障,knowledge_fact,控制回路接地故障-应对措施存在控制回路接地故障-安全风险,2,关系_links.xlsx,20260410
F00154,断路器,操作能源与控制回路故障,knowledge_fact,控制回路接地故障-应对措施需要控制回路接地故障-应急资源,2,关系_links.xlsx,20260410
F00155,断路器,操作能源与控制回路故障,knowledge_fact,操作能源与控制回路故障包含合分闸控制回路故障,2,关系_links.xlsx,20260410
F00156,断路器,操作能源与控制回路故障,knowledge_fact,合分闸控制回路故障起因于合分闸控制回路故障-故障原因,2,关系_links.xlsx,20260410
F00157,断路器,操作能源与控制回路故障,precursor,合分闸控制回路故障-故障原因表现合分闸控制回路故障-故障现象,4,关系_links.xlsx,20260410
F00158,断路器,操作能源与控制回路故障,knowledge_fact,合分闸控制回路故障处置合分闸控制回路故障-应对措施,2,关系_links.xlsx,20260410
F00159,断路器,操作能源与控制回路故障,fault_consequence,合分闸控制回路故障-故障后果,5,关系_links.xlsx,20260410
F00160,断路器,操作能源与控制回路故障,knowledge_fact,合分闸控制回路故障-应对措施存在合分闸控制回路故障-安全风险,2,关系_links.xlsx,20260410
F00161,断路器,操作能源与控制回路故障,knowledge_fact,合分闸控制回路故障-应对措施需要合分闸控制回路故障-应急资源,2,关系_links.xlsx,20260410
F00162,断路器,操作能源与控制回路故障,knowledge_fact,操作能源与控制回路故障包含合分闸线圈故障,2,关系_links.xlsx,20260410
F00163,断路器,操作能源与控制回路故障,knowledge_fact,合分闸线圈故障起因于合分闸线圈故障-故障原因,2,关系_links.xlsx,20260410
F00164,断路器,操作能源与控制回路故障,precursor,合分闸线圈故障-故障原因表现合分闸线圈故障-故障现象,4,关系_links.xlsx,20260410
F00165,断路器,操作能源与控制回路故障,knowledge_fact,合分闸线圈故障处置合分闸线圈故障-应对措施,2,关系_links.xlsx,20260410
F00166,断路器,操作能源与控制回路故障,fault_consequence,合分闸线圈故障-故障后果,5,关系_links.xlsx,20260410
F00167,断路器,操作能源与控制回路故障,knowledge_fact,合分闸线圈故障-应对措施存在合分闸线圈故障-安全风险,2,关系_links.xlsx,20260410
F00168,断路器,操作能源与控制回路故障,knowledge_fact,合分闸线圈故障-应对措施需要合分闸线圈故障-应急资源,2,关系_links.xlsx,20260410
F00169,断路器,操作能源与控制回路故障,knowledge_fact,操作能源与控制回路故障包含辅助开关及转换接点异常故障,2,关系_links.xlsx,20260410
F00170,断路器,操作能源与控制回路故障,knowledge_fact,辅助开关及转换接点异常故障起因于辅助开关及转换接点异常故障-故障原因,2,关系_links.xlsx,20260410
F00171,断路器,操作能源与控制回路故障,precursor,辅助开关及转换接点异常故障-故障原因表现辅助开关及转换接点异常故障-故障现象,4,关系_links.xlsx,20260410
F00172,断路器,操作能源与控制回路故障,knowledge_fact,辅助开关及转换接点异常故障处置辅助开关及转换接点异常故障-应对措施,2,关系_links.xlsx,20260410
F00173,断路器,操作能源与控制回路故障,fault_consequence,辅助开关及转换接点异常故障-故障后果,5,关系_links.xlsx,20260410
F00174,断路器,操作能源与控制回路故障,knowledge_fact,辅助开关及转换接点异常故障-应对措施存在辅助开关及转换接点异常故障-安全风险,2,关系_links.xlsx,20260410
F00175,断路器,操作能源与控制回路故障,knowledge_fact,辅助开关及转换接点异常故障-应对措施需要辅助开关及转换接点异常故障-应急资源,2,关系_links.xlsx,20260410
F00176,断路器,继电保护与测量二次回路故障,knowledge_fact,继电保护与测量二次回路故障包含继电保护误动作故障,2,关系_links.xlsx,20260410
F00177,断路器,继电保护与测量二次回路故障,knowledge_fact,继电保护误动作故障起因于继电保护误动作故障-故障原因,2,关系_links.xlsx,20260410
F00178,断路器,继电保护与测量二次回路故障,precursor,继电保护误动作故障-故障原因表现继电保护误动作故障-故障现象,4,关系_links.xlsx,20260410
F00179,断路器,继电保护与测量二次回路故障,knowledge_fact,继电保护误动作故障处置继电保护误动作故障-应对措施,2,关系_links.xlsx,20260410
F00180,断路器,继电保护与测量二次回路故障,fault_consequence,继电保护误动作故障-故障后果,5,关系_links.xlsx,20260410
F00181,断路器,继电保护与测量二次回路故障,knowledge_fact,继电保护误动作故障-应对措施存在继电保护误动作故障-安全风险,2,关系_links.xlsx,20260410
F00182,断路器,继电保护与测量二次回路故障,knowledge_fact,继电保护误动作故障-应对措施需要继电保护误动作故障-应急资源,2,关系_links.xlsx,20260410
F00183,断路器,继电保护与测量二次回路故障,knowledge_fact,继电保护与测量二次回路故障包含保护整定不当故障,2,关系_links.xlsx,20260410
F00184,断路器,继电保护与测量二次回路故障,knowledge_fact,保护整定不当故障起因于保护整定不当故障-故障原因,2,关系_links.xlsx,20260410
F00185,断路器,继电保护与测量二次回路故障,precursor,保护整定不当故障-故障原因表现保护整定不当故障-故障现象,4,关系_links.xlsx,20260410
F00186,断路器,继电保护与测量二次回路故障,knowledge_fact,保护整定不当故障处置保护整定不当故障-应对措施,2,关系_links.xlsx,20260410
F00187,断路器,继电保护与测量二次回路故障,fault_consequence,保护整定不当故障-故障后果,5,关系_links.xlsx,20260410
F00188,断路器,继电保护与测量二次回路故障,knowledge_fact,保护整定不当故障-应对措施存在保护整定不当故障-安全风险,2,关系_links.xlsx,20260410
F00189,断路器,继电保护与测量二次回路故障,knowledge_fact,保护整定不当故障-应对措施需要保护整定不当故障-应急资源,2,关系_links.xlsx,20260410
F00190,断路器,继电保护与测量二次回路故障,knowledge_fact,继电保护与测量二次回路故障包含互感器回路故障,2,关系_links.xlsx,20260410
F00191,断路器,继电保护与测量二次回路故障,knowledge_fact,互感器回路故障起因于互感器回路故障-故障原因,2,关系_links.xlsx,20260410
F00192,断路器,继电保护与测量二次回路故障,precursor,互感器回路故障-故障原因表现互感器回路故障-故障现象,4,关系_links.xlsx,20260410
F00193,断路器,继电保护与测量二次回路故障,knowledge_fact,互感器回路故障处置互感器回路故障-应对措施,2,关系_links.xlsx,20260410
F00194,断路器,继电保护与测量二次回路故障,fault_consequence,互感器回路故障-故障后果,5,关系_links.xlsx,20260410
F00195,断路器,继电保护与测量二次回路故障,knowledge_fact,互感器回路故障-应对措施存在互感器回路故障-安全风险,2,关系_links.xlsx,20260410
F00196,断路器,继电保护与测量二次回路故障,knowledge_fact,互感器回路故障-应对措施需要互感器回路故障-应急资源,2,关系_links.xlsx,20260410
F00197,断路器,继电保护与测量二次回路故障,knowledge_fact,继电保护与测量二次回路故障包含保护出口回路接地故障,2,关系_links.xlsx,20260410
F00198,断路器,继电保护与测量二次回路故障,knowledge_fact,保护出口回路接地故障起因于保护出口回路接地故障-故障原因,2,关系_links.xlsx,20260410
