case_id	import_file	source_file	source_section	case_title
case_0078	case_0078__1.16_某_110kV_变电站_110kV_主变绝缘油溢出故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.16 某 110kV 变电站 110kV 主变绝缘油溢出故障分析
case_0079	case_0079__1.17_某_110kV_变电站_110kV_主变绕组变形故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.17 某 110kV 变电站 110kV 主变绕组变形故障分析
case_0080	case_0080__1.18_某110kV变电站110kV主变油位过高故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.18 某110kV变电站110kV主变油位过高故障分析
case_0081	case_0081__1.19_某_110kV_变电站_110kV_主变乙炔含量异常故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.19 某 110kV 变电站 110kV 主变乙炔含量异常故障分析
case_0082	case_0082__1.21_某110kV变电站110kV主变内部放电导致跳闸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.21 某110kV变电站110kV主变内部放电导致跳闸故障分析
case_0083	case_0083__1.22_某_110kV_变电站外部放电导致_2_号主变跳闸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.22 某 110kV 变电站外部放电导致 2 号主变跳闸故障分析
case_0084	case_0084__1.23_某_110kV_变电站_2_号主变箱盖下沉导致总烃异常故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.23 某 110kV 变电站 2 号主变箱盖下沉导致总烃异常故障分析
case_0085	case_0085__1.24_某_110kV_变电站_1、2_号主变故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.24 某 110kV 变电站 1、2 号主变故障分析
case_0086	case_0086__1.25_某_110kV_变电站主变短路后套管损坏故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.25 某 110kV 变电站主变短路后套管损坏故障分析
case_0087	case_0087__7.0_级地震标准，地面加速度基准为_AG3，套管未损坏。.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		7.0 级地震标准，地面加速度基准为 AG3，套管未损坏。
case_0088	case_0088__1.26_某_35kV_变电站_1_号主变气体继电器故障导致重瓦斯动作分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.26 某 35kV 变电站 1 号主变气体继电器故障导致重瓦斯动作分析
case_0089	case_0089__1.27_某_35kV_变电站_1_号主变跳闸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.27 某 35kV 变电站 1 号主变跳闸故障分析
case_0090	case_0090__1.28_某_35kV_变电站_2_号主变呼吸器堵塞导致跳闸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.28 某 35kV 变电站 2 号主变呼吸器堵塞导致跳闸故障分析
case_0091	case_0091__1.29_某_35kV_变电站主变受潮导致重瓦斯动作故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.29 某 35kV 变电站主变受潮导致重瓦斯动作故障分析
case_0092	case_0092__1.30_某_35kV_变电站_2_号主变跳闸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.30 某 35kV 变电站 2 号主变跳闸故障分析
case_0093	case_0093__1.31_某35kV变电站10kV电流互感器炸裂引起主变跳闸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.31 某35kV变电站10kV电流互感器炸裂引起主变跳闸故障分析
case_0167	case_0167__案例一_生产工艺不良造成配电变压器故障.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第二节 配电变压器故障案例	案例一 生产工艺不良造成配电变压器故障
case_0168	case_0168__案例二_低压短路造成低压配电箱故障.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第二节 配电变压器故障案例	案例二 低压短路造成低压配电箱故障
case_0169	case_0169__案例三_肘型电缆终端密封不良造成配电变压器故障.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第二节 配电变压器故障案例	案例三 肘型电缆终端密封不良造成配电变压器故障
case_0170	case_0170__案例四_产品质量问题导致配电变压器故障.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第二节 配电变压器故障案例	案例四 产品质量问题导致配电变压器故障
